Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.5546875000,2,3216.9230957031,3213.0769042969,3210.7692871094,3215.2563476563,3208.3332519531,3206.5385742188,3199.6154785156,3203.8461914063,3209.1025390625,3213.0769042969,3270.1281738281,4174.4873046875,3214.4870605469,3222.6923828125,,,
0.5625000000,2,3216.1538085938,3212.0512695313,3219.3588867188,3219.3588867188,3209.7436523438,3207.4357910156,3199.7436523438,3202.0512695313,3208.8461914063,3215.2563476563,3270.8974609375,4175.5126953125,3198.7180175781,3211.7949218750,,,
0.5703125000,2,3221.2819824219,3213.7180175781,3206.6667480469,3220.5129394531,3209.4870605469,3206.1538085938,3204.2307128906,3208.4614257813,3211.1538085938,3215.8974609375,3274.1025390625,4175.2563476563,3215.7692871094,3224.2307128906,,,
0.5781250000,2,3214.4870605469,3210.7692871094,3223.5898437500,3224.3588867188,3213.8461914063,3207.4357910156,3203.0769042969,3208.4614257813,3209.4870605469,3215.7692871094,3272.5642089844,4179.4873046875,3206.2819824219,3214.3588867188,,,
0.5859375000,2,3217.4357910156,3219.8718261719,3217.4357910156,3220.3845214844,3215.5129394531,3211.2819824219,3202.3076171875,3205.5129394531,3210.3845214844,3220.8974609375,3272.6923828125,4178.3334960938,3212.1794433594,3223.5898437500,,,
0.5937500000,2,3218.8461914063,3219.2307128906,3214.6154785156,3219.7436523438,3212.4357910156,3210.5129394531,3204.1025390625,3208.5898437500,3212.3076171875,3219.3588867188,3274.2307128906,4179.8715820313,3222.6923828125,3231.6667480469,,,
0.6015625000,2,3217.1794433594,3213.3332519531,3227.8205566406,3225.0000000000,3215.3845214844,3210.2563476563,3206.7949218750,3207.4357910156,3211.9230957031,3218.8461914063,3272.3076171875,4180.8974609375,3205.3845214844,3214.4870605469,,,
0.6093750000,2,3224.4870605469,3218.9743652344,3211.7949218750,3218.4614257813,3216.6667480469,3210.5129394531,3205.0000000000,3208.0769042969,3212.5642089844,3221.6667480469,3276.2819824219,4181.5385742188,3221.5385742188,3230.3845214844,,,
0.6171875000,2,3219.1025390625,3218.5898437500,3224.4870605469,3224.3588867188,3218.3332519531,3213.7180175781,3208.3332519531,3210.5129394531,3213.0769042969,3217.0512695313,3277.4357910156,4185.1284179688,3213.7180175781,3221.4101562500,,,
0.6250000000,2,3222.1794433594,3223.8461914063,3221.7949218750,3226.7949218750,3216.5385742188,3219.6154785156,3212.8205566406,3211.4101562500,3215.3845214844,3219.4870605469,3276.6667480469,4181.7949218750,3212.5642089844,3219.7436523438,,,
